mySQLProjectId	ownerLogin/projName	#ofCommunityMembers	issueId	assigneeSOId	assigneeGHLogin	assigneeGHMySQLId	assigneeGHMongoDBId	aR0:random	aR1:wRandom	aR2:zeroR	aR3:wR+Recency	aR4:Recency+zScore	aR5:tuning(0.0001)	aR6:tuning(0.001)	aR7:tuning(0.002)	aR8:tuning(0.003)	aR9:tuning(0.005)	aR10:tuning(0.007)	aR11:tuning(0.01)	aR12:tuning(0.05)	aR13:tuning(0.1)	aR14:tuning(0.5)	aR15:tuning(1)	aR16:tuning(5)	aR17:tuning(10)	aRR0:random	aRR1:wRandom	aRR2:zeroR	aRR3:wR+Recency	aRR4:Recency+zScore	aRR5:tunning(0.0001)	aRR6:tunning(0.001)	aRR7:tunning(0.002)	aRR8:tunning(0.003)	aRR9:tunning(0.005)	aRR10:tunning(0.007)	aRR11:tunning(0.01)	aRR12:tunning(0.05)	aRR13:tunning(0.1)	aRR14:tunning(0.5)	aRR15:tunning(1)	aRR16:tunning(5)	aRR17:tunning(10)	projectLanguage	projectDescription	issueTitle	issueLabels	issueBody
6093	JuliaLang/julia	73	817954	659248	StefanKarpinski	26545	153596	23	61	10	64	5	6	6	6	6	6	6	6	6	6	6	6	6	6	0.043478261	0.016393443	0.1	0.015625	0.2	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	Julia	The Julia Language a fresh approach to technical computing.	efficient sets using hash tables	[]	The current implementation was never meant to be more than a very temporary stop-gap and is frankly embarrassing.
6093	JuliaLang/julia	73	817959	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	reimplement Set efficiently using hash tables	[]	The current implementation is frankly embarrassing.
6093	JuliaLang/julia	73	818013	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	systematic efficient approach to string construction	[]	The current approach uses polymorphism to make RopeString objects. This is pretty inefficient for the typical small string use-case. To efficiently construct a C-style string in the current framework one makes the current output stream a memio object and then prints to it. The general pattern I ve used is to write a print whatever function and then wrap it in a whatever function that returns a string using print to string . Should we stick with this pattern It has the advantage of allowing the printing version to be very efficient but it s kind of awkward to write. Should we figure out a different pattern Something like C# s StringBuilder pattern Perhaps it suffices to make strcat check the size and encodings of its arguments and use print to string approach to concatenate them into a copied string where appropriate namely when the arguments are of compatible encodings e.g. any mixture of ASCIIString and UTF8String and if concatenated they would be below some size threshold. For larger strings we should continue to use the RopeString approach. Also string slices should copy their contents as well unless the resulting string is above the large string threshold in which case they can continue to use the current SubString with the known issue that this pins the superstring in memory.
6093	JuliaLang/julia	73	818058	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	string literals ASCIIString UTF8String	[feature]	See the discussion here http groups.google.com group julia-math browse thread thread e353c4ef35ba05b3 . The salient conclusion is this Escapes continue to work the way they do now x always inserts a single byte and u always inserts a sequence of bytes encoding a unicode character. Literals are turned into String objects according to the following simple check - ASCIIString if all bytes are 0x80 - UTF8String if any bytes are 0x80. If you want to use x escapes with values at or above 0x80 to generate invalid UTF-8 that s your business. We can also introduce an Latin1 ... form that uses the Latin-1 encoding to store code points up to U+FF in an efficient character-per-byte form. Finally the b ... macro-defined string form can let you use characters and escapes both x and u to generate byte arrays. We can safely and quickly concatenate ASCIIString s with each other with UTF8String s or with Latin1String s. Mixing UTF8String s and Latin1String s however requires transcoding the Latin1String s to UTF-8. This however will not occur with string literals since they will always be ASCIIString s or UTF8String s.
6093	JuliaLang/julia	73	818224	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	install make target	[feature;;build]	You should be able to do make install and have a compiled copy of all of julia installed on a system. The default location should be under usr local but should be configurable. It would be nice even for us developers to have both an installed unbroken copy of julia and have the development copy still live in the repo directory. That way when the development version is broken you can still use julia for other stuff.
6093	JuliaLang/julia	73	818235	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	load path	[feature]	Currently we have a half-baked implicit load path for .j files loaded via the builtin load function. It should be possible to add a list of directories to look in for .j files. The rule should probably be that names without in them are looked up via the load path while names beginning with are considered to be absolute and names with anywhere else are relative to the current directory.
6093	JuliaLang/julia	73	840664	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	fix test utf8.j	[bug]	This non-default test has been failing for quite some time I think.
6093	JuliaLang/julia	73	844834	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	throw error if a bare string literal is invalid UTF-8	[]	See this thread http groups.google.com group julia-math browse thread thread 31942b387ea416c3 . This changes the behavior for bare string literals previously described in #4 to be the following all bytes 0x80 ASCIIString has bytes 0x80 and is valid UTF-8 UTF8String invalid UTF-8 throws an error The b ... string form see #11 will let you use string syntax with x and u to make byte arrays. If you want to make a UTF-8 string that contains invalid UTF-8 you can do something this UTF8String b xff xff 
6093	JuliaLang/julia	73	844858	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	implement b ... byte array literals	[feature]	Generate literal byte arrays wherein x and u are just shorthand for sequences of bytes.
6093	JuliaLang/julia	73	845304	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	remove unicode make test utf8.j generate data on the fly	[]	Now that we have sufficient external process functionality this should be easy.
6093	JuliaLang/julia	73	849369	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	implement immutable types	[feature;;breaking]	The conclusion of our last discussion http groups.google.com group julia-math browse thread thread 7aab753b3a979b0b 305572a47351411e on immutability versus mutability was that it is largely a psychological distinction when an object is identified by its value then it should be immutable integers floats complexes strings when an object is a container whose identity can remain the same while its contents change then it should be mutable arrays linked list nodes tree nodes. To declare that a new concrete type is immutable prefix its declaration with immutable immutable type Complex T Real Number re T im T end Alternately only the immutable keyword could be used immutable Complex T Real Number re T im T end 
6093	JuliaLang/julia	73	867555	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	Doc and wiki reorg	[]	Doc stuff should perhaps move to the wiki wherever it makes sense. Some of the stuff is notes and then there is the manual as well. 
6093	JuliaLang/julia	73	968588	2552596	ViralBShah	26598	744411	42	12	63	14	70	42	36	32	42	40	33	39	39	36	38	35	42	41	0.023809524	0.083333333	0.015873016	0.071428571	0.014285714	0.023809524	0.027777778	0.03125	0.023809524	0.025	0.03030303	0.025641026	0.025641026	0.027777778	0.026315789	0.028571429	0.023809524	0.024390244	Julia	The Julia Language a fresh approach to technical computing.	use faster BLAS by default	[]	Simple linear algebra is likely to be one of the first things people try and it needs to perform reasonably. We could use ATLAS or gotoblas http www.tacc.utexas.edu tacc-projects gotoblas2 downloads gotoblas is not maintained but it is already very fast BSD licensed and runs everywhere julia runs. 
6093	JuliaLang/julia	73	971301	659248	StefanKarpinski	26545	153596	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	better general object printing	[feature]	Goals - printing circular structures - printing objects with type annotations - printing objects structurally instead of pretty printing them It should probably be possible to switch between different printing modes in the repl. It s especially often quite handy to have type annotations in the repl.
6093	JuliaLang/julia	73	982669	659248	StefanKarpinski	26545	153596	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	make for while etc. return Nothing instead of 	[]	We discussed this once a long time ago and decided that it would be nice to have a Nothing object that prints as nothing. Then when entering code into the repl one doesn t have to worry about putting an unseemly at the end of a for loop to suppress the annoying . Also it would make some potential errors more sensible if you try to do anything with the Nothing value it can throw a fairly specific error whereas is a perfectly legitimate value for many expressions to produce.
6093	JuliaLang/julia	73	990740	659248	StefanKarpinski	26545	153596	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	Need better array printing - especially for complex arrays	[feature]	Our array printing is currently quite embarrassing. It needs to be fixed.
6093	JuliaLang/julia	73	1034402	845766	zingales	717643	-	36	3	60	58	66	61	60	61	61	61	61	60	60	60	60	61	60	61	0.027777778	0.333333333	0.016666667	0.017241379	0.015151515	0.016393443	0.016666667	0.016393443	0.016393443	0.016393443	0.016393443	0.016666667	0.016666667	0.016666667	0.016666667	0.016393443	0.016666667	0.016393443	Julia	The Julia Language a fresh approach to technical computing.	evaluate and improve array primitives	[performance]	I suspect many of our critical array functions like ref assign cat and transpose are highly suboptimal in many cases. For example ref assign should be able to use memcpy or equivalent for the inner loop even for N-d. We should time each of these functions in various cases and deal with any problems. 
6093	JuliaLang/julia	73	1039987	2552596	ViralBShah	26598	744411	2	3	7	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	0.5	0.333333333	0.142857143	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.333333333	0.5	0.5	0.5	0.5	Julia	The Julia Language a fresh approach to technical computing.	ARPACK compiles every time you run make	[bug]	Like it says every time I run make in external it causes ARPACK to get recompiled.
6093	JuliaLang/julia	73	1061877	659248	StefanKarpinski	26545	153596	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	complete documentation for 1.0 release	[doc]	This includes - JuliaLang.org website http julialang.org - up-to-date README on GitHub https github.com JuliaLang julia#readme - complete wiki documentation https github.com JuliaLang julia wiki of all v1.0 language features These are all necessary for the v1.0 release.
6093	JuliaLang/julia	73	1063221	659248	StefanKarpinski	26545	153596	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	consistent design of collections and their interfaces	[]	The current interface to things like hashes and sets is pretty thrown together and dodgy. For example you can t put a set into a set at the moment because add s Set s2 Set adds the contents of the second set to the first rather than adding the second set to the first as an item.
6093	JuliaLang/julia	73	1063236	659248	StefanKarpinski	26545	153596	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	consistent design of streams strings and their interfaces	[feature]	This overlaps somewhat with issue #50 in that streams and strings can be viewed as collections that contain characters. However it seems worth making a separate issue. We currently also make no distinction between streams of characters and strings but there is a major difference a stream can only be iterated forwards while a string provides random access. Many of our string operations could actually be stream operations thereby allowing much more efficient usage in cases where the data is being read incrementally.
6093	JuliaLang/julia	73	1063518	659248	StefanKarpinski	26545	153596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Julia	The Julia Language a fresh approach to technical computing.	run wiki example code as a test suite	[doc;;test]	The examples in the wiki should all be exactly what the interpreter actually produces. We should automate comparing the output of the interpreter with what is in the wiki thereby ensuring accuracy of all the examples and serving as an additional set of integration tests. One issue is when to clear variables and state. An obvious choice is to retain state within sections or subsections or whatever .
6093	JuliaLang/julia	73	1078520	2552596	ViralBShah	26598	744411	1	2	20	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0.5	0.05	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	Julia	The Julia Language a fresh approach to technical computing.	implement fft and related functions	[feature]	We need fft before launch. I assume FFTW is the only realistic library we can use. If it is too much of a pain to integrate until our full C FFI is ready we can go with FFTPACK. 
